cavename,complete_lcc_n,complete_lcc_m,branch_n,branch_m,total_euclidean_branch_length,total_curvilinear_branch_length,mean_branch_euclidean_length,mean_branch_curvilinear_length,mean_branch_tortuosity,max_branch_tortuosity,rho_A_d,rho_A_l,lambda2_L_d,lambda2_L_l,graph_energy_d,laplacian_energy_d,estrada_index_d,kirchhoff_index_d,log10_spanning_trees_d,graph_energy_l,laplacian_energy_l,estrada_index_l,kirchhoff_index_l,log10_spanning_trees_l,heat_trace_t_0.01_d,heat_trace_t_0.1_d,heat_trace_t_1_d,heat_trace_t_10_d,heat_trace_t_0.01_l,heat_trace_t_0.1_l,heat_trace_t_1_l,heat_trace_t_10_l,rho_ratio_d_over_l,spectral_tortuosity_lambda2_ratio,kirchhoff_ratio_l_over_d,energy_log_ratio_d_over_l,laplacian_energy_log_ratio_d_over_l,estrada_log_ratio_d_over_l,delta_log10_spanning_trees_d_minus_l,edge_csv,node_pos_csv,complete_lcc_vertex_limit,full_spectrum_dense_limit_branch_n
001_GouffreDejaVu_000,33,32,4,3,93.38740886801085,150.6788466772057,31.12913628933695,50.22628222573524,1.3932860293495253,1.9217369333900385,0.11416267732232198,0.11126822914502715,0.02214401618724255,0.012132197062415282,0.22832535464464396,0.33740521456993466,4.0130472782223645,280.1622266040325,-4.181018395399961,0.22253645829005428,0.33041498720791207,4.01239339739981,452.03654003161705,-4.564445389837015,3.9968192407288217,3.9684798735647657,3.7114033470784573,2.5039362708732473,3.9971326112707937,3.971583742117959,3.739740082934091,2.663597511048375,1.0260132492404657,1.8252272093274184,1.613481394372637,0.025680660154932016,0.020935223732509632,0.0001629520048629899,0.3834269944370545,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\001_GouffreDejaVu_000\clean_graph_csv\001_GouffreDejaVu_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\001_GouffreDejaVu_000\clean_graph_csv\001_GouffreDejaVu_000_node_pos.csv,1000000000,2000
002_Migovec_000,7163,7206,889,927,32733.589628349295,45964.66053020533,35.31131567243721,49.58431556656454,1.3505719857963445,6.74362817215159,0.9857531445992892,0.9855264738517686,2.6776971029030266e-06,1.9528886917830393e-06,104.86385509110629,150.1186685878625,904.9974249010274,660586909.1496528,-1145.077826717975,93.52172780270787,135.69868663186628,902.6349889158253,912500367.4379905,-1241.5781954684646,887.4889649294563,874.2460597461727,768.9720374591884,430.37428364148377,887.6903951921324,876.1983689841381,783.9002650689843,470.7357425042135,1.00022999965352,1.3711468114745535,1.381347941957578,0.11446909842631543,0.10098921691596799,0.002613847054519236,96.50036875048954,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\002_Migovec_000\clean_graph_csv\002_Migovec_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\002_Migovec_000\clean_graph_csv\002_Migovec_000_node_pos.csv,1000000000,2000
003_Criou_000,3721,3741,436,455,17251.08399377196,23246.463006818907,37.914470315982335,51.09112748751408,1.2357146241499888,3.8271152862037563,16.440799203115944,16.440334922100902,8.37114239705003e-06,6.145053296290757e-06,87.09615345107088,122.7600773294684,13809001.129373893,121281890.61440256,-540.0443655600717,83.65082180080535,119.23947532455246,13802590.999414163,163967845.84725198,-573.1982580880914,434.9238287153835,427.2712975293621,371.75292792153925,199.7078098063454,434.9904747520285,427.9178424877515,376.7853321852086,212.4875920680337,1.0000282403623308,1.3622570860537488,1.3519565453391797,0.04036146877663133,0.029097991038227893,0.0004643071681624832,33.153892528019696,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\003_Criou_000\clean_graph_csv\003_Criou_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\003_Criou_000\clean_graph_csv\003_Criou_000_node_pos.csv,1000000000,2000
004_Matienzo_000,6058,6128,1457,1524,32123.498491430757,40913.5989842024,21.078411083615983,26.846193559187927,1.1903337706087571,7.067749842251475,9.711119082646505,9.711039318492961,1.5141187033837265e-06,1.2410558654738118e-06,455.0146126856745,734.0170180957105,18990.39315180246,1745797804.0998602,-1431.689872812584,443.1475574157786,724.2515510721656,18983.803430754968,2146084646.5949235,-1517.2146500674912,1450.533995206688,1399.5330891478202,1121.3771508883565,535.217571633387,1450.7984889149639,1402.0430060615213,1138.8401649302239,573.1302822087907,1.0000082137607447,1.2200246141261857,1.2292859124665085,0.026426732926537133,0.013393435489712505,0.00034706309582132965,85.52477725490712,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\004_Matienzo_000\clean_graph_csv\004_Matienzo_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\004_Matienzo_000\clean_graph_csv\004_Matienzo_000_node_pos.csv,1000000000,2000
005_Sakany_000,1426,1467,308,347,4202.7941738917525,5597.633764048704,12.111798772022341,16.131509406480415,1.3108124643004586,5.6156999802134395,70.71082960839094,70.71078758882813,0.00027565472400829783,0.00020813610052239706,237.8282483931248,373.3114205934504,5.120626621474969e+30,5147556.50512615,-262.82175689011876,229.5766396188866,368.6053875307903,5.120411459503474e+30,6652885.127651202,-290.6153772466124,305.9689280012081,296.7338203969723,236.09471412502398,94.36563855877964,306.11546059857545,298.1037876075791,244.6576241137185,106.77640495791933,1.0000005942454362,1.3243965045777113,1.2924355703576993,0.035311852304073035,0.012686317731978635,4.2019562826622065e-05,27.793620356493648,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\005_Sakany_000\clean_graph_csv\005_Sakany_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\005_Sakany_000\clean_graph_csv\005_Sakany_000_node_pos.csv,1000000000,2000
006_ReveEveille_000,78,77,4,3,243.3455416220186,330.59213965006535,81.11518054067287,110.19737988335511,1.1783940979023753,1.4288908333706667,0.14158386129314685,0.14119419906703473,0.006690979056027481,0.004724203305501049,0.28316772258629364,0.4224960309040222,4.0200794989714135,730.0366248660547,-4.778813116616623,0.28238839813406946,0.42167783343538134,4.019968943549884,991.7764189501966,-4.977681726775,3.9966491062895875,3.966884120416402,3.7046187464924376,2.701397165818093,3.9967243122468044,3.967629171393726,3.711449204177302,2.744917795727763,1.002759760873229,1.4163190327216106,1.3585296753189133,0.0027559597250907193,0.0019384578447883883,2.7501182940985348e-05,0.1988686101583772,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\006_ReveEveille_000\clean_graph_csv\006_ReveEveille_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\006_ReveEveille_000\clean_graph_csv\006_ReveEveille_000_node_pos.csv,1000000000,2000
007_Tsanfleuron_000,206,206,11,11,692.5434470453283,944.6027161140814,62.958495185938936,85.87297419218922,1.2933803517919378,1.6857310915914783,0.11717617611428748,0.0973711214496944,0.0030486742095422363,0.0022136605650569722,0.4741061252145972,0.6819520691604043,11.022301319244082,9348.873601270367,-16.701023117294373,0.38827720889175543,0.5742963517849732,11.015750592858282,12643.671949292628,-17.784462088339538,10.993391107305708,10.934413865597797,10.391047279360247,7.52524643966115,10.994538538434972,10.945742510042626,10.491078057047146,7.92307723559924,1.203397623132287,1.377209432044869,1.3524273071329738,0.19971164906487382,0.171813820155401,0.0005944923448640691,1.0834389710451653,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\007_Tsanfleuron_000\clean_graph_csv\007_Tsanfleuron_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\007_Tsanfleuron_000\clean_graph_csv\007_Tsanfleuron_000_node_pos.csv,1000000000,2000
008_UltimaPatagonia_000,605,618,105,118,3170.4928972585867,3990.5085229348792,26.86858387507277,33.81786883843118,1.3588144921540022,20.826909040203688,0.6839427541318254,0.6818423001608309,0.0005398581194762526,0.0004611278690143344,14.690682927656884,22.042823481743024,107.65752741436118,817691.0103656612,-118.97201908035085,13.622382806655141,20.33917215304667,107.37137339545401,963189.559040919,-125.83088960509343,104.77751571058714,102.83814706906718,88.12582627183741,45.972930986936674,104.79920157873109,103.04643280587348,89.59734432886815,49.13567638154299,1.0030805568538341,1.1707340973127582,1.177938300447002,0.07549924388111176,0.08043839388487217,0.0026615416509227293,6.858870524742585,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\008_UltimaPatagonia_000\clean_graph_csv\008_UltimaPatagonia_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\008_UltimaPatagonia_000\clean_graph_csv\008_UltimaPatagonia_000_node_pos.csv,1000000000,2000
009_Folly_000,4709,4746,641,678,21393.258545193457,29667.565215972143,31.553478680226338,43.75747082001791,1.2471800922018932,3.269200102998696,1.1647957213034243,1.1232285456961408,6.751239659912275e-06,5.109170847629114e-06,78.70569845332821,118.99512084030837,654.2179732606022,230162677.693264,-777.9046550820802,73.70754727909315,112.95520822473983,653.1047101764754,311291050.1622718,-829.9289270458602,639.7838057997747,629.1604425719042,546.5906307129981,292.2988385087104,639.8870270119792,630.1586078141196,554.1136238859256,313.73373410475074,1.0370068725252362,1.3213963402780227,1.3524827451700354,0.06561036071974212,0.05209113819059611,0.0017031194628945089,52.02427196377994,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\009_Folly_000\clean_graph_csv\009_Folly_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\009_Folly_000\clean_graph_csv\009_Folly_000_node_pos.csv,1000000000,2000
010_PlaninaPoljana_000,1600,1619,309,326,6512.340589049613,8389.271038085612,19.976504874385316,25.733960239526414,1.283570347503175,6.464739315280782,1.8322121131664137,1.831532021471098,3.3450693304351165e-05,2.5648965838667598e-05,52.765471657098146,76.98122055492865,322.49152737188143,21755973.756458454,-328.3746600526309,46.09187359300529,68.44292708842869,320.38362397659665,27850136.077080805,-355.50429851358314,308.19571417327074,301.2410022012826,250.40814214816095,119.87437264648973,308.30430421574357,302.27604769290417,257.3586920025886,131.89816253881224,1.0003713239448413,1.3041731785506112,1.2801144361011763,0.13522037425319822,0.11756128642192677,0.006557761471795514,27.129638460952265,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\010_PlaninaPoljana_000\clean_graph_csv\010_PlaninaPoljana_000_edges.csv,C:\Users\roz31\Documents\GitHub\KNdata-public\caves_fulldatasets\data\010_PlaninaPoljana_000\clean_graph_csv\010_PlaninaPoljana_000_node_pos.csv,1000000000,2000
